id;start_date;start_time;end_date;end_time;timespan;room_id;Repeats;Repeats Until
1;2024-01-01;9:00;2024-01-01;18:00;("2024-01-01 9:00","2024-01-01 18:00");1;Wöchentlich am Montag, Dienstag, Mittwoch, Donnerstag und Freitag;
2;2024-01-01;19:00;2024-01-01;21:00;("2024-01-01 19:00","2024-01-01 21:00");2;Monatlich am 1. Montag;
3;2024-01-01;19:00;2024-01-01;21:00;("2024-01-01 19:00","2024-01-01 21:00");3;Wöchentlich am Montag bis 14. Januar, 2024;2024-01-14
4;2024-01-01;19:30;2024-01-01;22:00;("2024-01-01 19:30","2024-01-01 22:00");5;Alle 2 Wochen am Montag;
5;2024-01-01;19:45;2024-01-01;22:00;("2024-01-01 19:45","2024-01-01 22:00");1;Monatlich am 1. Montag;
6;2024-01-02;9:00;2024-01-02;18:00;("2024-01-02 9:00","2024-01-02 18:00");1;Wöchentlich am Montag, Dienstag, Mittwoch, Donnerstag und Freitag;
7;2024-01-02;16:30;2024-01-02;18:00;("2024-01-02 16:30","2024-01-02 18:00");5;Wöchentlich am Dienstag bis 29. Januar, 2024;2024-01-29
8;2024-01-02;19:00;2024-01-02;21:15;("2024-01-02 19:00","2024-01-02 21:15");2;Wöchentlich am Dienstag;
9;2024-01-03;9:00;2024-01-03;10:30;("2024-01-03 9:00","2024-01-03 10:30");3;Wöchentlich am Mittwoch bis 3. Januar, 2024;2024-01-03
10;2024-01-03;9:00;2024-01-03;11:00;("2024-01-03 9:00","2024-01-03 11:00");4;Alle 2 Wochen am Mittwoch;
11;2024-01-03;9:00;2024-01-03;18:00;("2024-01-03 9:00","2024-01-03 18:00");1;Wöchentlich am Montag, Dienstag, Mittwoch, Donnerstag und Freitag;
12;2024-01-03;10:30;2024-01-03;12:30;("2024-01-03 10:30","2024-01-03 12:30");2;Alle 7 Tage bis 28. Mai, 2024;2024-05-28
13;2024-01-03;11:00;2024-01-03;13:00;("2024-01-03 11:00","2024-01-03 13:00");3;Wöchentlich am Mittwoch;
14;2024-01-03;13:00;2024-01-03;14:00;("2024-01-03 13:00","2024-01-03 14:00");2;Wöchentlich am Mittwoch;
15;2024-01-03;13:00;2024-01-03;14:00;("2024-01-03 13:00","2024-01-03 14:00");4;;
16;2024-01-03;14:30;2024-01-03;15:30;("2024-01-03 14:30","2024-01-03 15:30");4;;
17;2024-01-03;17:00;2024-01-03;19:00;("2024-01-03 17:00","2024-01-03 19:00");2;Wöchentlich am Mittwoch;
18;2024-01-03;17:00;2024-01-03;18:00;("2024-01-03 17:00","2024-01-03 18:00");4;;
19;2024-01-03;19:00;2024-01-03;21:00;("2024-01-03 19:00","2024-01-03 21:00");2;Monatlich am 1. Mittwoch;
20;2024-01-03;19:30;2024-01-03;22:30;("2024-01-03 19:30","2024-01-03 22:30");5;Wöchentlich am Mittwoch und Freitag bis 13. Februar, 2024;2024-02-13
21;2024-01-03;19:30;2024-01-03;21:30;("2024-01-03 19:30","2024-01-03 21:30");1;Alle 2 Wochen am Mittwoch;
22;2024-01-03;20:00;2024-01-03;22:00;("2024-01-03 20:00","2024-01-03 22:00");3;Wöchentlich am Mittwoch;
23;2024-01-04;9:00;2024-01-04;11:30;("2024-01-04 9:00","2024-01-04 11:30");2;Wöchentlich am Donnerstag bis 21. Februar, 2024;2024-02-21
24;2024-01-04;9:00;2024-01-04;18:00;("2024-01-04 9:00","2024-01-04 18:00");1;Wöchentlich am Montag, Dienstag, Mittwoch, Donnerstag und Freitag;
25;2024-01-04;14:00;2024-01-04;15:30;("2024-01-04 14:00","2024-01-04 15:30");2;;
26;2024-01-04;14:00;2024-01-04;15:30;("2024-01-04 14:00","2024-01-04 15:30");4;;
